raw,attention,meditation,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
-24,56,56,1767301,32885,20104,5698,20063,7048,2815,348812
-99,60,77,134277,13613,3071,5072,3056,1912,1002,76475
148,61,64,107779,67618,5146,26525,7509,8990,3951,297005
-59,44,54,1343691,176849,30581,41253,26066,6798,1896,295389
154,40,51,430963,89150,19048,21253,21914,7739,3246,336424
19,37,57,912024,70644,49109,12628,11540,10075,5792,288096
-24,27,60,168514,142294,52091,26248,25158,9940,2424,302283
53,41,77,1130210,27378,66225,19993,32937,9257,3367,311463
16,54,56,12887,34943,1147,1279,13317,8382,1758,289661
137,48,57,390704,35430,23561,3315,2754,2090,1734,77406
69,53,47,153823,121644,1942,16032,9224,10159,6661,317737
-83,54,43,222352,13366,17773,10067,10806,4890,4603,323341
-147,50,83,344930,13904,19634,33135,11643,8675,3118,283492
148,61,66,126959,31524,5116,1071,2345,4488,3125,72482
-71,64,64,1205526,172489,19437,5320,22940,17158,9680,199907
-85,64,48,186213,16066,844,3108,2189,2289,564,9903
41,56,29,440408,75164,7049,25382,18817,6154,2757,144196
52,53,47,52389,44176,27231,17081,11305,7141,3862,287929
-33,54,51,1948305,178155,13504,27996,20684,22796,8801,263004
50,44,56,123930,91817,16530,10944,5598,4999,6064,220809
37,35,47,131504,297555,7091,39991,42588,7757,4531,229295
75,44,44,382879,15946,3621,25618,24045,9462,4390,282989
40,40,47,2119261,196795,40295,11716,24228,16172,11974,258706
50,40,38,218969,31569,1666,3483,5185,1649,829,66383
92,60,63,21307,32933,46906,20197,10745,14613,3669,244946
135,40,63,89016,81853,59264,17384,40303,5378,1900,248741
56,47,69,231251,66883,10582,31585,37002,12514,2501,243203
184,70,87,14003,3749,4111,5192,5031,6193,3192,306005
16,56,64,738144,191676,28082,10778,25600,8251,2308,304553
20,83,60,36217,31763,4691,18154,11819,21535,2548,309343
13,83,57,93766,57179,8936,18804,25085,10610,2830,306449
72,78,60,407542,16565,16723,11818,5362,13287,2934,285381
9,84,69,31334,65037,5599,30071,6934,6892,5462,294836
-123,75,67,38554,18289,3945,6653,10927,4890,2216,293416
-49,67,64,271338,78343,15582,9046,24446,6594,3593,267530
71,56,75,1727121,19825,53754,15847,8627,7876,7270,293583
-20,74,77,118999,29757,17429,19113,3293,22745,3397,319851
67,60,75,480613,142635,25820,13730,10739,8587,5654,325157
99,66,91,52075,25200,40464,10180,4408,8212,3514,331772
-183,51,57,154357,275186,3674,20959,8885,7428,3518,287494
-44,26,48,98152,247528,42359,26876,29038,8982,5665,321994
-2,16,48,962804,21876,3504,2911,3774,496,1200,16262
-65,20,34,53669,88189,38924,10326,32164,21188,3125,311882
67,26,48,632166,16967,1454,5690,2482,1094,935,71995
106,34,54,7952,58146,26168,8392,12492,4519,2751,343248
621,57,61,293174,11203,9278,770,5110,4671,657,78321
-230,37,43,2264256,1207616,14790,73656,30014,23904,8528,170905
64,35,50,941460,21691,12895,5309,4592,1530,528,15930
13,34,37,884866,164541,4644,18042,7813,7743,2964,233269
27,13,37,283098,104021,35842,23534,11094,6030,5328,248378
2,34,60,55195,40549,13699,18405,10619,9884,1575,221532
133,38,35,82239,127720,2386,8574,19327,7768,3630,219658
-9,60,38,325662,80382,19473,21422,11475,11535,4505,223013
138,61,38,233632,71661,37728,9776,7811,16699,1071,244148
502,70,53,923997,67683,13544,12204,8357,14055,1972,197698
82,63,63,528488,43526,10678,21402,11526,4284,1053,58429
-1,57,54,976183,69036,9082,6810,4212,4789,3719,42021
-46,60,41,67106,57173,2210,9293,4438,13034,3325,201996
-205,43,53,207081,123810,68308,40214,11144,7329,6706,238336
219,48,56,1251396,59662,12904,48690,23755,10545,4043,206750
50,50,61,188087,97423,15228,26124,24976,9414,4289,204080
92,48,67,262373,46222,6505,16042,26075,10936,7911,180626
-8,53,67,27845,21466,18305,15198,24011,2838,1427,219161
51,47,61,139890,93521,14771,34159,11172,6635,4358,222599
8,44,61,48963,36113,4800,12677,20365,2918,4339,225066
54,35,61,213168,50629,3187,12009,5316,4384,6867,208754
38,44,50,997536,12696,993,3953,1523,2134,740,57816
69,56,56,69321,37015,45279,14593,20051,14087,2387,198652
104,53,57,381062,91565,17890,21833,15883,5771,8248,220607
71,50,53,219109,127955,18394,5214,18715,6977,6868,215236
9,29,56,27913,69033,16714,13341,7506,1909,2332,216800
-189,35,51,7180,17117,3272,11927,4282,8428,5130,243896
-11,44,57,153604,44216,39175,4076,11020,8373,2596,190952
7,51,60,173500,84223,16199,2755,9767,7510,4241,204716
108,63,78,1261515,26715,47598,52422,16831,8150,4248,238349
87,56,64,43596,39467,2253,7908,24894,6765,1722,195845
-115,48,56,25268,81777,16128,11968,6367,5315,2553,230127
105,50,43,437179,136300,6015,3997,23460,12358,2421,210507
-44,56,21,1935795,253082,15450,81998,38402,39126,5264,196845
24,53,47,180847,20638,22469,35836,12696,7723,2910,198531
80,47,43,440947,150425,23583,15659,13009,4488,2556,203702
-138,51,66,33065,22515,15252,4350,9992,6486,4057,226261
51,64,69,180412,13866,2170,6241,3786,8908,1024,47840
-138,53,41,168641,53646,2570,3875,3567,1867,898,34028
-389,67,43,1389272,307434,93309,25274,47465,42848,3581,10092
-36,47,21,440740,92856,3264,3238,7058,1928,676,987
39,23,14,1350628,131770,2149,27504,15609,6784,4318,29879
147,41,38,147745,14846,17979,9596,12705,8089,3867,7043
53,41,38,1843276,38515,17331,13197,5196,3683,1849,1063
-5,56,29,128734,8134,1933,1125,6211,4577,1466,11377
121,66,37,164223,95123,7992,6232,16502,5417,3970,251620
-538,75,40,233046,525113,102115,61034,40872,65295,13746,212433
13,81,30,1242440,20442,7816,9591,12569,13703,1672,21921
320,57,56,36477,47059,65561,18956,7120,5937,2317,180637
-122,53,64,404707,340925,58205,24892,28246,13738,6390,161620
-138,41,64,689579,62452,11601,7894,6680,3107,926,55943
470,16,63,520563,26204,5102,4608,1767,1030,470,9979
428,13,66,405044,15872,23787,17611,2986,1706,1045,9006
1205,13,66,1439181,95202,14578,17274,7030,3586,667,4500
-170,13,66,441398,66420,47175,28016,3668,8718,10742,9628
22,13,66,1394719,520426,94632,350944,262266,437149,17086,93963
-36,20,53,355255,555629,14745,27628,36451,36010,5600,31158
545,29,53,1117267,67903,14812,10155,13925,8955,5437,4506
406,35,56,883731,26150,10701,4463,4542,2070,468,17698
226,35,56,774108,15300,4765,3150,1765,2006,669,4118
-52,43,23,783734,87373,4200,6542,14638,7098,1921,60040
-42,44,51,170284,85358,66077,42940,19652,11880,2552,122885
-8,38,56,718383,87182,33835,7790,8958,6779,5383,39231
291,30,56,1102232,341468,31839,116656,34831,13396,5917,2886
816,30,84,393707,16944,6508,22384,2070,3470,1659,570
321,34,63,1533199,634351,65261,25401,69106,50804,28425,6339
26,30,64,339704,34577,15029,7911,10663,2722,597,862
3,41,54,774158,90769,13139,4675,5812,7712,1305,1397
